steps,reward,latency,bandwidth
8500,-2.468,1.133,0.14181017
8531,-11.487,3.278,0.11488941
8558,-9.08,3.891,0.04316252
8563,0.136,0.4,0.14478646
8569,-0.549,0.936,0.28737835
8582,-3.453,1.214,0.14920605
8583,1.01,0.14,0.04316252
8584,1.01,0.068,0.82091068
8589,0.314,0.503,0.53568113
8626,-14.529,5.372,0.01936618
8631,0.195,0.323,0.25033968
8641,-1.355,0.998,0.11441689
8661,-6.039,2.068,0.01936618
8668,-0.594,1.152,0.05767309
8692,-9.267,2.073,0.08052643
8695,0.124,0.621,0.46110683
8697,1.121,0.373,0.03211208
8701,0.129,0.4,0.11488941
8710,-1.357,1.146,0.18957809
8718,0.437,0.809,0.18957809
8727,-2.566,1.052,0.05767309
8736,-0.46,1.012,0.08052643
8744,-0.321,1.164,0.16731505
8770,-9.05,2.592,0.08052643
8774,1.276,0.528,0.21766825
8784,-0.371,1.308,0.05767309
8797,-2.539,1.164,0.01936618
8807,-2.455,1.284,0.14920605
8831,-9.057,2.202,0.11488941
8838,-1.72,1.189,0.11488941
8841,1.177,0.458,0.04316252
8849,-0.6,0.877,0.06793869
8850,1.01,0.184,0.38138034
8855,1.312,0.528,0.24058643
8869,-4.57,1.985,0.11488941
8874,-0.734,0.751,0.14920605
8898,-7.321,3.591,0.03211208
8924,-7.709,3.361,0.14181017
8937,-3.092,1.928,0.14920605
8975,-17.19,5.114,0.02606726
8981,0.508,0.714,0.30570447
9001,-9.083,2.439,0.04316252
9020,-7.443,2.74,0.04316252
9024,0.251,0.474,0.11441689
9032,-1.647,0.623,0.11262371
9047,-4.31,1.643,0.11441689
9069,-8.175,2.079,0.01936618
9085,-5.395,1.732,0.06793869
9090,-0.944,0.274,0.89725991
9094,0.189,0.482,0.35206481
9098,1.289,0.452,0.18957809
9115,-5.143,2.015,0.02606726
9118,1.22,0.284,0.2659298
9168,-21.465,6.365,0.03211208
9170,1.055,0.262,0.14920605
9172,1.128,0.262,0.16731505
9173,1.01,0.217,0.14920605
9185,-3.466,1.094,0.05767309
9213,-9.039,2.421,0.21766825
9219,-0.62,0.985,0.05767309
9222,0.139,0.229,0.28737835
9226,0.302,0.432,0.05767309
9251,-8.913,3.213,0.03211208
9261,-0.139,1.569,0.14181017
9277,-2.256,1.459,0.04316252
9282,0.264,0.441,0.1709423
9284,1.133,0.144,0.35206481
9300,-2.154,1.541,0.05767309
9313,-3.119,1.866,0.11441689
9319,-0.736,0.898,0.16225102
9323,0.183,0.639,0.33628948
9324,1.01,0.124,0.9005571
9329,-0.809,0.639,0.20582358
9346,-6.206,1.895,0.14478646
9349,1.241,0.424,0.20582358
9367,-3.853,2.269,0.06793869
9370,1.304,0.308,0.08052643
9371,1.01,0.167,0.91189265
9385,-2.313,1.54,0.11488941
9392,-0.442,1.264,0.04316252
9415,-8.132,2.927,0.03211208
9422,-0.475,1.038,0.33628948
9427,0.276,0.403,0.18957809
9435,-1.454,1.105,0.28737835
9463,-9.435,3.479,0.02606726
9483,-10.333,2.55,0.14181017
9486,0.178,0.607,0.24642506
9540,-17.761,6.54,0.03211208
9550,-1.441,1.131,0.1709423
9553,1.242,0.254,0.25082545
9569,-3.046,2.114,0.01936618
9577,-0.545,0.807,0.06793869
9589,-1.77,0.662,0.08052643
9606,-2.288,1.493,0.08052643
